NeckRShoulder-NeckNose,NeckRShoulder-NeckRHip,NeckRShoulder-RShoulderRElbow,NeckLShoulder-NeckNose,NeckLShoulder-NeckLHip,NeckLShoulder-LShoulderLElbow,RShoulderRElbow-RElbowRWrist,LShoulderLElbow-LElbowLWrist,NeckRHip-RHipRKnee,NeckLHip-LHipLKnee,RHipRKnee-RKneeRAnkle,LHipLKnee-LKneeLAnkle,classification
"[None, None, None, None, None, None, None, None, None, 2.327630832353585, nan, nan, nan, None, nan, nan, nan, nan, 2.6894387913040174, nan, nan, nan, 2.6779450445889874, 2.6779450445889874, nan, 2.6894387913040174, nan, nan, nan, nan, nan, 1.2604089196625452, nan, 1.2604089196625452, 1.2604089196625452, 1.2604089196625452, nan, 1.2604089196625452, 1.2604089196625452, nan, nan, nan, 2.0687878760781246, nan, nan, 1.2548260548419163, 1.2548260548419163, nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.7853981633974484, 1.237552025683224, None, None, None, None, None, None, None]","[nan, 1.31910635503671, 1.31910635503671, nan, 1.366778347202348, 1.366778347202348, 2.152176510599796, 0.0, 2.327630832353585, 0.8139618212362083, nan, nan, nan, 1.3994172004053889, nan, nan, nan, nan, 0.17137912638950756, nan, nan, nan, 0.27938190966482757, 0.27938190966482757, nan, 0.28157118495615885, nan, nan, nan, nan, nan, 1.8954287175940503, nan, 1.8954287175940503, 1.8954287175940503, 1.8954287175940503, nan, 1.8954287175940503, 1.8954287175940503, nan, nan, nan, 1.081466896357842, nan, nan, 1.8954287175940503, 1.8954287175940503, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.366778347202348, 1.5707963267948966, nan, nan, nan, nan, nan, nan, nan]","[nan, 1.5707963267948966, 1.5707963267948966, nan, 1.5707963267948966, 1.5707963267948966, 2.356194490192345, 1.5707963267948966, 2.327630832353585, 0.8139618212362083, nan, nan, nan, 1.9040406279065694, nan, nan, nan, nan, 0.0, nan, nan, nan, 0.4578337210189642, 0.4578337210189642, nan, 0.45215386228577575, nan, nan, nan, nan, nan, 1.3292306196995707, nan, 1.3292306196995707, 1.3292306196995707, 1.3292306196995707, nan, 1.3292306196995707, 1.3292306196995707, nan, nan, nan, 0.4408642336057079, nan, nan, 1.3292306196995707, 1.2548260548419163, nan, nan, nan, nan, nan, nan, nan, nan, nan, 1.5707963267948966, 1.5707963267948966, nan, nan, nan, nan, nan, nan, nan]","[None, None, None, None, None, None, None, None, None, nan, 1.237552025683224, 1.237552025683224, 1.237552025683224, None, nan, nan, 1.8811837339272481, 1.8811837339272481, 2.0229501890806723, 2.0229501890806723, nan, nan, 2.0344439357957027, 2.0344439357957027, 1.886766598747877, nan, nan, nan, nan, nan, 0.31038740713235174, nan, nan, nan, 1.8811837339272481, 1.8811837339272481, nan, 1.8811837339272481, nan, nan, nan, nan, nan, nan, 0.31597027195298055, 1.886766598747877, nan, nan, nan, 1.1299320931891887, 2.0229501890806723, 1.1299320931891887, 2.0229501890806723, 2.0229501890806723, 1.8811837339272481, 2.8256223816368125, nan, nan, None, None, None, None, None, None, None]","[nan, 1.31910635503671, 1.31910635503671, 0.6099438416436599, nan, nan, nan, nan, nan, nan, 1.366778347202348, 1.366778347202348, 1.366778347202348, nan, nan, nan, 1.246163935995743, 1.1883097542509642, 1.246163935995743, 1.246163935995743, nan, nan, 1.2490457723982544, 1.2490457723982544, 1.0994860325245512, nan, nan, nan, nan, nan, 2.5892891627215495, nan, nan, nan, 1.0994860325245512, 1.0994860325245512, nan, 1.0994860325245512, nan, nan, nan, nan, nan, nan, 2.7591060810458603, 1.246163935995743, nan, nan, nan, 1.9451442598096524, 1.246163935995743, 2.1236128527610365, 1.3994172004053889, 1.3994172004053889, 1.3994172004053889, 0.1697782739683388, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[nan, 1.5707963267948966, 1.5707963267948966, 2.327630832353585, nan, nan, nan, nan, nan, nan, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, nan, nan, nan, 1.9040406279065694, 1.9040406279065694, 1.825978717415715, 1.9532828993388291, nan, nan, 2.1095237813029426, 2.1095237813029426, 2.0402242182393646, nan, nan, nan, nan, nan, 2.689438791304018, None, nan, nan, None, None, None, None, nan, nan, nan, nan, nan, nan, 2.683758932570829, 2.2166122462684665, nan, nan, nan, 2.7912784413543914, 2.1632236802267752, 2.7970587237980524, 2.0402242182393646, 2.0402242182393646, 2.1632236802267752, 0.31597027195298094, nan, nan, nan, nan, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.0, 0.4750107562650969, 0.0, 0.0, 2.0576955586061656, 2.0576955586061656, 3.141592653589793, 2.8083483524781205, None, None, 2.666581897324696, 0.9721582861155599, 1.1139247412689839, 0.31038740713235174, 0.4521538622857755, 0.4521538622857755, 1.0838970949836275, 1.8075623248812485, 2.1179497320136, 1.7847054309019272, 2.19685970075956, 2.19685970075956, 1.8697971113346206, 2.214428035038921, 1.9040406279065694, 1.9040406279065694, 1.1186424645091209, 1.1186424645091209, 1.7771202208246142, 2.4250161902293703, 1.8697971113346206, 2.086065125258259, 2.086065125258259, 2.086065125258259, 1.8697971113346206, 2.4250161902293703, 2.086065125258259, 2.208748176305732, 1.7771202208246142, 1.7771202208246142, 2.350611625371716, 2.214428035038921, 1.762628481759114, 2.100137044031519, 2.0116605604006046, 1.7485565629858542, 1.9040406279065694, 1.0004130451449549, 0.7798152985768195, 0.7798152985768195, 0.8542198634344738, 0.8542198634344738, 0.4694278914444681, 0.7758746418038355, 0.5703832816499419, 0.5703832816499419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.8824096012695875, 3.141592653589793, 0.4750107562650969, nan, nan, nan, nan, 3.141592653589793, 0.3332443011116726, 3.141592653589793, 0.0, 0.0, 0.0, 0.6389139850038871, 0.3103874071323514, 0.31038740713235174, 0.4376621232202755, 0.4376621232202755, 0.828714704362809, 1.9737079176484125, 1.7847054309019272, 1.7847054309019272, 2.602865199081747, 2.602865199081747, 1.8867665987478772, 2.683758932570829, 2.689438791304018, 2.689438791304018, nan, nan, nan, None, 2.683758932570829, 2.683758932570829, None, None, None, None, 1.2548260548419163, 2.683758932570829, nan, nan, 2.689438791304018, 2.689438791304018, 1.8697971113346206, 1.6818149128800153, nan, nan, 3.089764430893017, 1.1071487177940904, 0.1644071521268094, 0.2874066141142204, 0.2874066141142204, 0.2874066141142204, 0.140273491146103, 0.4694278914444681, 0.2371389805382687, 0.2371389805382687, nan, nan, nan, 0.7853981633974483, 0.7853981633974483, 0.7853981633974483, 0.7853981633974483]","[0.0, 0.2516899717581867, 0.2516899717581867, 0.45920037021336696, 0.45920037021336696, 0.45920037021336696, 0.45920037021336696, 0.0, 0.11415126705280729, 0.0, 0.5372622807042214, 0.5372622807042214, 0.506872362379005, 0.17137912638950756, 0.03422677858620009, 0.11195229236043219, 0.33279772402362073, 0.33279772402362073, 0.31786330478306873, 0.34115740035784614, 0.6463829451957958, 0.8181093641728734, 0.8181093641728734, 0.8181093641728734, 0.8633598453071993, 0.9204851699600457, 0.9635463758030406, 0.9635463758030406, 1.100507032602989, 1.100507032602989, 1.1623809469177555, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.1623809469177555, 1.025420290117807, 1.100507032602989, 0.9635463758030406, 0.9635463758030406, 0.8633598453071993, 0.8633598453071993, 0.8633598453071993, 0.7853981633974483, 0.4833998892573763, 0.4507610360543352, 0.11195229236043219, 0.30015887082057974, 0.30015887082057974, 0.31786330478306873, 0.0, 0.6676655885933547, 0.0, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182]","[0.3332443011116729, 0.506872362379005, 0.506872362379005, 0.45920037021336696, 0.45920037021336696, 0.45920037021336696, 0.30709958811524946, 0.11415126705280729, 0.0, 0.11415126705280729, 0.5372622807042214, 0.5372622807042214, 0.4557079513507356, 0.23824475817874488, 0.03422677858620009, 0.11195229236043219, 0.6040143004639811, 0.629157281433335, 0.6040143004639811, 0.6463829451957958, 0.7042371269405747, 0.6463829451957958, 0.6463829451957958, 0.6463829451957958, 1.0184636994890486, 1.0184636994890486, 0.7649731450878654, 1.1193671802008598, 1.3940497351347276, 1.3940497351347276, 1.475042931732626, 1.2003603767987578, 1.4584708019880808, 1.4584708019880808, 1.4584708019880808, 1.4584708019880808, 1.4584708019880808, 1.4584708019880808, 1.2662319792614065, 1.2662319792614065, 1.2003603767987578, 1.2003603767987578, 1.2567084576677936, 0.7882799997999597, 0.7649731450878654, 0.7071189633430861, 0.7071189633430861, 0.7071189633430861, 0.6463829451957958, 0.6618684822087604, 0.6040143004639811, 0.11195229236043219, 0.31786330478306873, 0.31786330478306873, 0.31786330478306873, 0.14619199798464247, 0.31597027195298055, 0.0, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182, 0.2551823906208182]","[0.0, 0.0, 0.0, 0.7301931468859152, 0.7301931468859152, 0.7301931468859152, 0.25518239062081777, 0.17137912638950756, 0.2855303934423147, 0.14767733704782632, 0.3332443011116726, 0.3332443011116726, 0.2551823906208182, 0.14767733704782632, 0.7076726496232129, 0.7853981633974483, 0.2575594888621443, 0.2575594888621443, 0.2752639228246332, 0.2985580183994109, 0.4711165691927147, 0.8181093641728734, 0.8181093641728734, 0.8181093641728734, 0.8181093641728734, 0.9635463758030406, 0.9635463758030406, 0.9635463758030406, 1.0574458267599942, 1.0574458267599942, 1.100507032602989, 1.1403975360975844, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.3030013641621716, 1.1403975360975844, 1.1403975360975844, 1.1403975360975844, 1.3030013641621716, 1.0574458267599942, 0.9635463758030406, 1.0574458267599942, 0.9635463758030406, 0.9635463758030406, 0.8633598453071993, 0.8633598453071993, 0.8633598453071993, 0.7882799997999597, 0.5587638193296552, 0.5587638193296552, 0.39713130840985417, 0.2752639228246332, 0.2752639228246332, 0.2752639228246332, 0.14767733704782632, 0.9330755004452739, 0.3332443011116729, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005]","[0.3332443011116729, 0.588426691732491, 0.25518239062081777, 0.25518239062081777, 0.588426691732491, 0.588426691732491, 0.10308160852270018, 0.11415126705280729, 0.0, 0.11415126705280729, 0.3332443011116726, 0.3332443011116726, 0.2516899717581867, 0.3197942683712468, 0.3197942683712468, 0.6984568444969133, 0.4270592467126533, 0.39434804593722805, 0.40816165409589994, 0.45053029882771434, 0.5112663169750049, 0.4711165691927147, 0.4711165691927147, 0.4711165691927147, 0.6936375836122644, 0.7185325316082108, 0.5538656989334402, 0.819436012320022, None, None, 1.3052260134083147, 0.819436012320022, 1.158539634107243, 0.9871605077177353, 0.9871605077177353, 0.9871605077177353, 0.9871605077177353, 0.9871605077177353, 0.7949216849910612, 0.9989396645836098, 0.819436012320022, 0.819436012320022, None, 0.6676655885933547, 0.5865045521364816, 0.5865045521364816, 0.5286503703917022, 0.5286503703917022, 0.5286503703917022, 0.42586608805838866, 0.4507610360543352, 0.39713130840985417, 0.2752639228246332, 0.2752639228246332, 0.2752639228246332, 0.3975197821454822, 0.9083976253848591, 0.3332443011116729, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005, 0.506872362379005]",CORRECT
"[None, None, None, None, None, None, None, None, 2.0344439357957027, None, None, None, None, None, None, None, None, None, None, None, None, 1.5707963267948966, None, None, None, None, None, None, None, None, nan, nan, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2.666581897324696, None, None, None, None, None, None, None, None]","[None, None, None, 1.3722957950190353, None, None, 1.3722957950190353, 1.3722957950190353, 1.35145307218971, None, None, nan, None, nan, None, None, None, 2.6715435345707657, nan, nan, None, 1.01155059913025, 1.1932661313713584, nan, 1.1912869583252614, 1.1912869583252614, 1.1912869583252614, 1.1912869583252614, 1.2241288119049554, 1.1912869583252614, nan, nan, 1.1912869583252614, None, 1.968319530839513, 1.1932661313713584, None, None, None, None, 1.2241288119049554, None, None, None, 1.2548260548419163, 0.4694278914444679, None, None, None, None, 2.157693958416484, 0.09396332020550481, 1.35145307218971, 1.4734042782248675, nan, 1.4677147182721964, 1.4677147182721964, 1.4677147182721964, nan, None]","[None, None, None, 1.377825516829327, None, None, 1.246163935995743, 1.246163935995743, 1.4010180528265581, None, None, nan, None, nan, None, None, None, 2.384758148031105, nan, nan, None, 1.377825516829327, 1.5707963267948966, nan, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, 1.5707963267948966, nan, nan, 1.5707963267948966, None, 2.384758148031105, 1.5707963267948966, None, None, None, None, 1.5707963267948966, None, None, None, 2.1632236802267752, None, None, None, None, None, 2.0315620993931915, 0.38248657254393276, 1.1883097542509642, 1.0236429215761933, nan, 1.1883097542509642, 1.1883097542509642, 1.246163935995743, nan, None]","[None, None, None, None, None, None, None, None, nan, None, None, None, None, None, None, None, None, None, None, None, None, nan, None, None, None, None, None, None, None, None, 0.0, 0.0, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, nan, None, None, None, None, None, None, None, None]","[None, None, None, 1.4734042782248675, None, None, nan, nan, nan, None, None, nan, None, None, None, None, None, 3.141592653589793, 3.0442006050197645, 1.6681883753649258, None, nan, nan, nan, None, None, nan, nan, nan, nan, 1.7704141052090314, 1.7704141052090314, nan, None, nan, nan, None, None, None, None, None, None, None, None, nan, 0.3332443011116726, None, None, None, None, None, nan, 3.141592653589793, 1.5707963267948966, nan, nan, 1.6681883753649258, 1.6681883753649258, nan, 1.6681883753649258]","[None, None, None, None, None, None, nan, nan, nan, None, None, None, None, None, None, None, None, 2.666581897324696, 2.9486218436242226, 1.5707963267948966, None, nan, None, None, None, None, None, None, nan, None, 1.3644724327651792, 1.3644724327651792, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, 0.992860712428518, None, None, 1.5621844164823775, 1.5621844164823775, 1.4246043288102546, None, None, None, None, 2.5311981547397044, None, None, None, 0.0, None, None, None, None, 0.45215386228577575, 2.5491653001579144, None, None, None, None, None, None, 0.7568345055586883, 0.45215386228577525, None, None, None, None, None, None, None, None, 1.886766598747877, None, None, None, 0.9783689733630181, None, None, None, None, None, 1.4204179613289534, 1.1678847359413809, 1.5011290370530537, 1.6657958697278243, 1.5475664503636581, 1.3828996176888875, 1.3828996176888875, 1.311792898516889, 1.311792898516889, None]","[None, None, None, None, None, None, 1.2459256577181939, 0.7568345055586883, 1.2676606432759496, None, None, None, None, None, None, None, None, 0.4750107562650969, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, 0.19850053177586113, None, None, 0.36442500422491825, 0.36442500422491825, 0.38526772705424356, None, None, 0.7206738819818562, 0.7827440250809855, 0.7827440250809855, None, None, None, 1.2117657938609878, 1.3774509883251649, 1.4627304508892653, None, 1.8884763473642172, 1.7553557122528651, 1.8366053099579778, 1.950305695264532, 1.950305695264532, 1.950305695264532, 1.7462877156719832, 1.9174638416848377, 1.7462877156719832, 1.658765364324058, 1.658765364324058, 1.7462877156719832, None, 1.7942641340209189, 1.7553557122528651, None, None, 1.341419024512919, None, 1.1320656782873895, None, None, None, 0.9017506569362939, 0.7796178809537867, None, None, None, None, 0.36442500422491825, 0.17987572473107835, 0.37298992309530304, 0.09739204857002978, 0.10308160852270018, 0.10308160852270018, 0.10308160852270018, 0.10308160852270018, 0.2744607349122078, 0.17137912638950756]","[None, None, None, 0.09739204857002864, None, None, 0.273557229448979, 0.273557229448979, 0.26912673500918904, None, None, 0.619473690948391, 0.5519589800872017, 0.5519589800872017, None, None, None, 0.0, 1.022372455891356, 1.022372455891356, None, 1.515874196629448, 1.6682274593777682, 1.836605309957978, 1.950305695264532, 1.950305695264532, 1.8627833439166068, 1.950305695264532, 1.61109337215842, 1.61109337215842, 1.7704141052090314, 1.7704141052090314, 1.950305695264532, None, 1.699576071225969, 1.7862979594838684, None, None, 1.1395732888125505, None, 1.1011455882002767, None, None, None, 0.20548315339637346, 0.13040330788913357, None, None, None, None, 0.27265842457310996, 0.16126670933710527, 0.0, 0.0, 0.09739204857002864, 0.09739204857002864, 0.09739204857002864, 0.09739204857002864, 0.19850053177586113, 0.09739204857002864]","[0.23211514453679807, 0.23211514453679807, 0.06073601814729001, 0.06465794642398102, 0.18362588051442696, 0.18362588051442696, 0.2744705074562445, 0.2744705074562445, 0.2744705074562445, 0.36836849091249874, 0.40107969168792396, 0.5853453910239023, 0.7900478012064523, 0.7900478012064523, 0.8575725436580129, 0.9423137166552487, 1.0571903220721477, 1.1967725659960264, 1.3847547644506317, 1.6011536591935485, 1.6011536591935485, 1.60102277837427, 1.7807371076828427, 1.9737079176484125, 1.9737079176484125, 1.9737079176484125, 1.9737079176484125, 1.8304259562031542, 2.0344439357957027, 1.7696899380558637, 1.7696899380558637, 1.7696899380558637, 1.7696899380558637, 1.9264322110956564, 1.7334614011300866, 1.7334614011300866, 1.3512073639546773, 1.3512073639546773, 1.163225165500072, 1.163225165500072, 1.0571903220721477, 0.9087663161592943, 0.8575725436580129, 0.8575725436580129, 0.8575725436580129, 0.5853453910239023, 0.36836849091249874, 0.36836849091249874, 0.32019831379895736, 0.32019831379895736, 0.2876222544721535, 0.08591240452557519, 0.2621927034973048, 0.0, 0.06073601814729001, 0.06073601814729001, None, None, None, None]","[0.21939797318746368, 0.21939797318746368, 0.05736941045289864, 0.0, 0.08116103645687467, 0.07507984550724003, 0.28402520655103364, 0.28402520655103364, 0.2829644913602012, 0.3803381936818874, 0.6495822997429183, 0.7103183178902086, 0.7103183178902086, 0.7103183178902086, 0.924208846614767, 1.032068872286851, 1.178553050680412, 0.24667070888940265, 1.3278919981748427, 1.3278919981748427, 1.657737645695432, 1.515874196629448, 1.7807371076828427, 1.9737079176484125, 1.8501782364597243, 1.8501782364597243, 1.9737079176484125, 1.9737079176484125, 1.6437387458358634, 1.6437387458358634, 1.9737079176484125, 1.9737079176484125, 2.028713339501158, 1.9737079176484125, 1.7807371076828427, 1.811679354913846, 1.657737645695432, 1.657737645695432, 1.3278919981748427, 1.3278919981748427, 1.2829624342222774, 0.8855846938932895, 0.7853981633974483, 0.7853981633974483, 0.7853981633974483, 0.7103183178902086, 0.6495822997429183, 0.604652735790353, 0.3362906635143194, 0.3362906635143194, 0.27265842457310996, 0.2586587579071343, 0.0, 0.0, 0.0, 0.0, 0.0, None, 0.0, 0.0]",CORRECT
"[None, None, None, None, None, None, None, 1.5707963267948966, 1.5707963267948966, 2.356194490192345, None, 2.370686229257845, 2.356194490192345, None, None, None, None, None, None, None, None, None, nan, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, 1.5707963267948966, 1.5707963267948966, nan, 0.10308160852270018, 1.4677147182721964, nan, 2.1368512355871583, 2.1368512355871583, 1.3722957950190353, 1.3722957950190353, 1.3722957950190353, 1.3500921055765496, 1.35145307218971, 1.3722957950190353, 1.3258176636680326, None, None, 1.8566648528383816, None, None, 2.8511907110413524, nan, 1.2257941495877915, 1.2241288119049554, None, None, None, None, None, None, 1.1932661313713584, 1.1932661313713584, nan, 0.40786796797390995, nan, nan, None, None, 1.1048392530778697, None, None, None, None, None, nan, 0.07852414876414562, None, None, 0.4694278914444679, 0.4694278914444679, 0.4694278914444679, None, None, None, nan, nan, None, None, None, None, 2.2245492238308846, 2.2245492238308846, None, None, None]","[None, 1.246163935995743, 1.246163935995743, nan, 0.6480568859305142, 1.1883097542509642, nan, 2.0315620993931915, 2.0315620993931915, 1.1883097542509642, 1.246163935995743, 1.1883097542509642, 1.366778347202348, None, None, 1.3994172004053889, None, None, 1.5707963267948966, None, None, 3.0020104096659135, nan, 1.462936301122813, 1.4490985447718006, None, None, None, None, None, None, 1.5707963267948966, 1.5707963267948966, nan, 0.7853981633974484, nan, nan, None, None, 1.5707963267948966, None, None, None, None, None, nan, 0.0011294925765996321, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 2.0029984415544315, 2.0029984415544315, None, None, None]","[None, None, None, None, None, None, None, 0.7853981633974483, 0.7853981633974483, nan, None, nan, 0.7853981633974483, None, None, None, None, None, None, None, None, None, 0.5924273534318786, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[1.6681883753649258, 1.6681883753649258, 1.6681883753649258, nan, 1.6681883753649258, 1.6681883753649258, nan, 3.141592653589793, 3.141592653589793, nan, nan, nan, 1.6681883753649258, 3.0442006050197645, 3.0442006050197645, 3.0600431433972917, None, nan, nan, None, None, 2.9430921218139323, 1.6595676421144359, nan, nan, None, None, None, None, None, None, nan, nan, nan, nan, nan, nan, None, None, None, None, None, None, None, None, nan, nan, None, None, nan, nan, nan, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 1.5707963267948966, None, None, None, None, None, nan, None, None, None, 1.5707963267948966, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, nan, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[None, 1.311792898516889, 1.311792898516889, 1.311792898516889, 1.4479467883934627, 1.1774082575349938, 1.182376475006881, 1.1100305541966018, 1.1100305541966018, 1.3608555459069507, 1.4204179613289534, 1.3608555459069507, 1.3226604441016696, None, None, 1.7421754531844043, None, None, None, None, None, 2.289452840086506, 2.4946472415396026, 2.710725224753831, 2.6842161662451582, None, None, None, None, None, None, None, None, 2.689438791304018, 2.356194490192345, 2.689438791304018, 2.356194490192345, None, None, None, None, None, None, None, None, 1.9644314687629723, 1.9519442778141012, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.4432748553082746, 1.4432748553082746, None, None, None]","[None, None, None, None, None, None, None, None, None, None, None, None, 0.0, None, None, None, None, None, 0.4750107562650969, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1.0445812157176542, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]","[0.17137912638950756, 0.17137912638950756, 0.17137912638950756, 0.0, 0.10308160852270018, 0.10308160852270018, 0.10308160852270018, 0.2193432546051871, 0.2193432546051871, 0.36442500422491825, 0.28441293630143494, 0.2919773129344507, 0.3866286936674041, 0.4005786051993638, 0.39700106355172243, 0.6478902539803798, None, 0.501592852358742, 0.8716489110267983, None, None, 1.0758001059458895, 1.0440130260702376, 1.269982584528432, 1.44803595024037, None, None, None, None, None, None, 1.7553557122528651, 1.7553557122528651, 1.6682274593777682, 1.7553557122528651, 1.6682274593777682, 1.7927709738569702, None, None, 1.866975126543585, None, None, None, None, None, 1.0440130260702376, 1.002375063508852, None, 0.7802931616033716, 0.7796178809537867, 0.7796178809537867, 0.7796178809537867, 0.7188818628064962, None, None, 0.18899401304827482, 0.18899401304827482, None, None, None, None, 0.10308160852270018, 0.10308160852270018, None, None, 0.12877974443107212]","[0.09739204857002864, 0.09739204857002864, 0.09739204857002864, 0.19850053177586113, 0.09739204857002864, 0.09739204857002864, 0.23697429249390767, 0.06984504991673876, 0.06984504991673876, 0.17855308502690337, 0.17855308502690337, 0.27265842457310996, 0.273557229448979, 0.290362858535599, 0.290362858535599, 0.48446110104601753, None, 0.5705193376737809, 0.0, None, None, 0.9910928156636015, 0.8741694787169876, 1.1669884334302467, 1.5928314508856842, None, None, None, None, None, None, 1.9174638416848377, 1.9174638416848377, 1.5763260486051882, 1.8366053099579778, 1.6991697066087714, 1.6682274593777682, None, None, 1.7462877156719832, None, None, None, None, None, 0.8741694787169876, 0.754017866731717, None, 0.13040330788913357, 0.13040330788913357, 0.13040330788913357, 0.20548315339637346, 0.06145214243697205, None, None, 0.17616518087894975, 0.17616518087894975, None, None, None, None, 0.2594206113045956, 0.2594206113045956, None, None, 0.22955780769518006]","[0.28907587559264225, None, None, None, None, 0.1176967492031344, None, 0.06442683942555323, 0.06442683942555323, 0.26331652101908676, 0.0859124045255739, 0.19655838968129016, 0.38526772705424356, 0.28909537626626064, 0.3063605574479446, 0.5246093728766118, 0.4964347782482076, 0.4200239363034156, 0.8575725436580129, 0.9087663161592943, 0.9087663161592943, 1.0236429215761935, 1.0499962015818558, 1.1967725659960264, 1.3731605940251281, 1.3731605940251281, 1.3731605940251281, 1.7696899380558637, 1.7696899380558637, 1.8876881280505637, 1.837656350471085, 1.837656350471085, 1.837656350471085, 1.837656350471085, 1.837656350471085, 1.9658281203768946, 1.8701152349547956, 2.037317491104779, 2.037317491104779, 1.8675392171364402, 1.8675392171364402, 1.3731605940251281, 1.1967725659960264, 1.0499962015818558, 1.0499962015818558, 1.0499962015818558, 1.0236429215761935, 1.026157442281309, 0.6595644336651182, 0.7086262721276705, 0.7086262721276705, 0.6021003603480634, 0.5246093728766118, 0.5773252815061372, 0.22902787246970632, 0.2000636715783813, 0.2000636715783813, 0.20616321704540128, 0.0, 0.07947824460820724, 0.06885648930104367, 0.0, 0.0, 0.06885648930104367, 0.21534066769460528, 0.1976362337321165]","[0.0, 0.0, 0.0, None, None, 0.0, 0.1969516543767766, 0.17770507558882484, 0.17770507558882484, 0.17855308502690337, 0.08116103645687467, 0.27265842457310996, 0.28402520655103364, 0.31466859198866587, 0.31466859198866587, 0.6495822997429183, 0.6495822997429183, 0.6852707045926407, 0.27938190966482757, 0.9225168008522288, 0.9225168008522288, 1.0375709470146046, 1.0303768265243125, 1.23670072055403, 1.6490755268492587, 1.5042800262039444, 1.5042800262039444, 1.8023287912589048, 1.9141385647676008, 1.9141385647676008, 1.9737079176484125, 2.152176510599796, 2.152176510599796, 1.9592057006342265, 2.152176510599796, 1.9901479478652297, 1.837656350471085, 2.0855176911571087, 2.0855176911571087, 1.7696899380558637, 1.5912213451044799, 1.6490755268492587, 1.5538779526407926, 1.0303768265243125, 1.0303768265243125, 1.0303768265243125, 0.8907945826004338, 0.8181093641728734, 0.7430295186656338, 0.7430295186656338, 0.7430295186656338, 0.7853981633974483, 0.39348994069779547, 0.36159174320799103, 0.3372860097549242, 0.29786296290204584, 0.29786296290204584, 0.3877939911184702, 0.08116103645687467, 0.07507984550724003, 0.1620285627345661, 0.16202856273456678, 0.16202856273456678, 0.12169778202309732, 0.1384527513472566, 0.12169778202309732]",CORRECT
